obs_index,permID,provID,trkSub,obsTime,ra_deg,dec_deg,mag,band,station,astCat,mode,injection_type,injection_magnitude_arcsec
0,101955,1999 RQ36,J99R36Q,1999-09-11 09:44:59.136000+00:00,24.4788769654499,-27.07457149480685,15.1,V,704,USNOA1,CCD,stochastic_noise,1.5
1,101955,1999 RQ36,J99R36Q,1999-09-11 10:06:56.736000+00:00,24.500316673289067,-27.06682525636796,15.1,V,704,USNOA1,CCD,stochastic_noise,1.5
2,101955,1999 RQ36,J99R36Q,1999-09-11 10:29:31.488000+00:00,24.523682687998253,-27.058164528495496,15.3,V,704,USNOA1,CCD,stochastic_noise,1.5
3,101955,1999 RQ36,J99R36Q,1999-09-11 10:51:03.168000+00:00,24.545511901965163,-27.049992113965693,15.4,V,704,USNOA1,CCD,stochastic_noise,1.5
4,101955,1999 RQ36,J99R36Q,1999-09-11 11:12:12.384000+00:00,24.565977068671394,-27.042143291931694,15.2,V,704,USNOA1,CCD,stochastic_noise,1.5
5,101955,1999 RQ36,C89272,1999-09-12 00:24:36.576000+00:00,25.616417425205473,-26.756812332215578,14.1,V,595,UNK,CCD,stochastic_noise,1.5
6,101955,1999 RQ36,C89272,1999-09-12 00:28:37.632000+00:00,25.62159326683465,-26.75441581898336,,,595,UNK,CCD,stochastic_noise,1.5
7,101955,1999 RQ36,C89272,1999-09-12 00:30:22.176000+00:00,25.62578823225319,-26.7532609616882,,,108,GSC,CCD,stochastic_noise,1.5
8,101955,1999 RQ36,C89272,1999-09-12 00:31:01.056000+00:00,25.623492999517705,-26.75476196828684,15.0,R,046,USNOSA2,CCD,stochastic_noise,1.5
9,101955,1999 RQ36,C89272,1999-09-12 00:32:10.176000+00:00,25.624354565030178,-26.754923222681416,,,046,USNOSA2,CCD,stochastic_noise,1.5
10,101955,1999 RQ36,C89272,1999-09-12 00:32:10.176000+00:00,25.62969641582286,-26.752284032438524,,,108,GSC,CCD,stochastic_noise,1.5
11,101955,1999 RQ36,C89272,1999-09-12 00:32:40.416000+00:00,25.626444079973094,-26.753506082876797,,,595,UNK,CCD,stochastic_noise,1.5
12,101955,1999 RQ36,C89272,1999-09-12 00:33:29.664000+00:00,25.626237512790652,-26.754284431104274,,,046,USNOSA2,CCD,stochastic_noise,1.5
13,101955,1999 RQ36,C89272,1999-09-12 00:35:21.120000+00:00,25.628889683836235,-26.752782574943133,,,046,USNOSA2,CCD,stochastic_noise,1.5
14,101955,1999 RQ36,C89272,1999-09-12 00:36:19.872000+00:00,25.63290479555927,-26.751399314782635,,,108,GSC,CCD,stochastic_noise,1.5
15,101955,1999 RQ36,C89272,1999-09-12 00:36:31.104000+00:00,25.629471961473797,-26.753065823667246,,,046,USNOSA2,CCD,stochastic_noise,1.5
16,101955,1999 RQ36,C89272,1999-09-12 00:36:50.976000+00:00,25.630983646160033,-26.75092534214624,,,595,UNK,CCD,stochastic_noise,1.5
17,101955,1999 RQ36,C89272,1999-09-12 00:37:39.360000+00:00,25.630640465582985,-26.752463605175652,,,046,USNOSA2,CCD,stochastic_noise,1.5
18,101955,1999 RQ36,C89272,1999-09-12 00:45:57.888000+00:00,25.64411602095888,-26.747516621802514,14.8,V,108,GSC,CCD,stochastic_noise,1.5
19,101955,1999 RQ36,C89272,1999-09-12 01:59:03.552000+00:00,25.733519197537092,-26.717197952730135,,,620,GSC,CCD,stochastic_noise,1.5
20,101955,1999 RQ36,C89272,1999-09-12 02:07:49.728000+00:00,25.74313297401519,-26.71397819413922,,,620,GSC,CCD,stochastic_noise,1.5
21,101955,1999 RQ36,C89272,1999-09-12 02:13:25.824000+00:00,25.7492162793565,-26.711473693211087,,,620,GSC,CCD,stochastic_noise,1.5
22,101955,1999 RQ36,C89272,1999-09-12 02:19:48.576000+00:00,25.75742939222445,-26.709392271811318,,,620,GSC,CCD,stochastic_noise,1.5
23,101955,1999 RQ36,C89272,1999-09-12 09:24:40.896000+00:00,26.355855612715807,-26.52995151596759,,,670,GSC1.1,CCD,stochastic_noise,1.5
24,101955,1999 RQ36,C89272,1999-09-12 09:49:28.704000+00:00,26.385361530074096,-26.519122232233418,,,670,GSC1.1,CCD,stochastic_noise,1.5
25,101955,1999 RQ36,C89272,1999-09-12 10:16:27.840000+00:00,26.416973277687298,-26.50865357752188,14.7,R,670,GSC1.1,CCD,stochastic_noise,1.5
26,101955,1999 RQ36,C89272,1999-09-12 10:40:33.312000+00:00,26.44551179549398,-26.498645325137886,,,670,GSC1.1,CCD,stochastic_noise,1.5
27,101955,1999 RQ36,C89272,1999-09-12 23:33:58.752000+00:00,27.61578226836015,-26.14176877625208,15.3,R,106,USNOA2,CCD,stochastic_noise,1.5
28,101955,1999 RQ36,C89272,1999-09-12 23:39:38.304000+00:00,27.6347919719215,-26.13299778001975,,,952,UNK,CCD,stochastic_noise,1.5
29,101955,1999 RQ36,C89272,1999-09-12 23:41:08.160000+00:00,27.636969508751253,-26.13349886219394,,,952,UNK,CCD,stochastic_noise,1.5
30,101955,1999 RQ36,C89272,1999-09-12 23:43:29.856000+00:00,27.640852353167027,-26.13319701585026,,,952,UNK,CCD,stochastic_noise,1.5
31,101955,1999 RQ36,C89272,1999-09-12 23:45:10.080000+00:00,27.64200066040984,-26.131709368323413,,,952,UNK,CCD,stochastic_noise,1.5
32,101955,1999 RQ36,C89272,1999-09-12 23:51:25.920000+00:00,27.650576565529555,-26.129039259562436,,,952,UNK,CCD,stochastic_noise,1.5
33,101955,1999 RQ36,C89272,1999-09-12 23:54:37.728000+00:00,27.654700928029897,-26.12760913493376,,,952,UNK,CCD,stochastic_noise,1.5
34,101955,1999 RQ36,C89272,1999-09-13 00:02:27.744000+00:00,27.65438665809274,-26.12971391168413,15.3,R,106,USNOA2,CCD,stochastic_noise,1.5
35,101955,1999 RQ36,C89272,1999-09-13 00:04:43.392000+00:00,27.655640405121964,-26.129178516190635,14.8,R,046,USNOSA2,CCD,stochastic_noise,1.5
36,101955,1999 RQ36,C89272,1999-09-13 00:05:56.832000+00:00,27.656742521892646,-26.128611455260298,,,046,USNOSA2,CCD,stochastic_noise,1.5
37,101955,1999 RQ36,C89272,1999-09-13 00:06:59.040000+00:00,27.657859934801266,-26.12898266900826,,,046,USNOSA2,CCD,stochastic_noise,1.5
38,101955,1999 RQ36,C89272,1999-09-13 00:08:01.248000+00:00,27.659236466160127,-26.12759866802846,,,046,USNOSA2,CCD,stochastic_noise,1.5
39,101955,1999 RQ36,C89272,1999-09-13 00:09:00+00:00,27.661191080328262,-26.126564714590856,,,046,USNOSA2,CCD,stochastic_noise,1.5
40,101955,1999 RQ36,C89272,1999-09-13 00:43:51.744000+00:00,27.706099689238002,-26.110758349861484,,,118,USNOA2,CCD,stochastic_noise,1.5
41,101955,1999 RQ36,C89272,1999-09-13 00:49:33.024000+00:00,27.71355631427846,-26.10814055215086,,,118,USNOA2,CCD,stochastic_noise,1.5
42,101955,1999 RQ36,C89272,1999-09-13 00:53:29.760000+00:00,27.71830270428863,-26.106169168006005,,,118,USNOA2,CCD,stochastic_noise,1.5
43,101955,1999 RQ36,J99R36Q,1999-09-13 08:21:24.480000+00:00,28.44321673388461,-25.865883643013763,15.1,V,704,USNOA1,CCD,stochastic_noise,1.5
44,101955,1999 RQ36,J99R36Q,1999-09-13 08:37:39.936000+00:00,28.465508619087142,-25.858411113168962,15.4,V,704,USNOA1,CCD,stochastic_noise,1.5
45,101955,1999 RQ36,J99R36Q,1999-09-13 08:53:30.336000+00:00,28.487421120248637,-25.84943150387376,15.5,V,704,USNOA1,CCD,stochastic_noise,1.5
46,101955,1999 RQ36,C89272,1999-09-13 09:01:41.088000+00:00,28.512483095324143,-25.848742693312275,15.3,R,848,UNK,CCD,stochastic_noise,1.5
47,101955,1999 RQ36,C89272,1999-09-13 09:02:57.984000+00:00,28.514303164811988,-25.846950072911266,15.1,R,848,UNK,CCD,stochastic_noise,1.5
48,101955,1999 RQ36,C89272,1999-09-13 09:04:15.744000+00:00,28.51620288065128,-25.847182571972418,14.6,R,848,UNK,CCD,stochastic_noise,1.5
49,101955,1999 RQ36,C89272,1999-09-13 09:05:35.232000+00:00,28.51798815794562,-25.8456950468287,14.6,R,848,UNK,CCD,stochastic_noise,1.5
50,101955,1999 RQ36,C89272,1999-09-13 09:06:52.992000+00:00,28.51995046641612,-25.846379891957408,14.3,R,848,UNK,CCD,stochastic_noise,1.5
51,101955,1999 RQ36,C89272,1999-09-13 13:54:06.336000+00:00,29.025803036760767,-25.610035308680498,13.8,R,426,USNOSA2,CCD,stochastic_noise,1.5
52,101955,1999 RQ36,C89272,1999-09-13 13:57:11.232000+00:00,29.029522851741728,-25.608616916556755,13.8,R,426,USNOSA2,CCD,stochastic_noise,1.5
53,101955,1999 RQ36,C89272,1999-09-13 13:59:57.120000+00:00,29.034286803659853,-25.607782103019943,13.6,R,426,USNOSA2,CCD,stochastic_noise,1.5
54,101955,1999 RQ36,C89272,1999-09-13 14:26:24.288000+00:00,29.059594011394044,-25.601426084952237,15.5,R,428,GSC,CCD,stochastic_noise,1.5
55,101955,1999 RQ36,C89272,1999-09-13 14:28:38.208000+00:00,29.062693800896565,-25.599824783817986,15.6,R,428,GSC,CCD,stochastic_noise,1.5
