obs_index,permID,provID,trkSub,obsTime,ra_deg,dec_deg,mag,band,station,astCat,mode,injection_type,injection_magnitude_arcsec
0,99942,2004 MN4,K04M04N,2004-03-15 02:35:21.696000+00:00,61.53422555555556,16.918495555555555,,,691,USNOB1,CCD,systematic_bias,2.0
1,99942,2004 MN4,K04M04N,2004-03-15 02:38:57.696000+00:00,61.53630555555556,16.918915555555554,,,691,USNOB1,CCD,systematic_bias,2.0
2,99942,2004 MN4,K04M04N,2004-03-15 02:58:03.360000+00:00,61.54951555555556,16.921525555555554,,,691,USNOB1,CCD,systematic_bias,2.0
3,99942,2004 MN4,K04M04N,2004-03-15 03:01:50.592000+00:00,61.55222555555556,16.922135555555553,,,691,USNOB1,CCD,systematic_bias,2.0
4,99942,2004 MN4,K04M04N,2004-03-15 03:17:36.672000+00:00,61.56263555555556,16.924275555555553,,,691,USNOB1,CCD,systematic_bias,2.0
5,99942,2004 MN4,K04M04N,2004-03-15 03:21:34.272000+00:00,61.56547555555556,16.924745555555553,,,691,USNOB1,CCD,systematic_bias,2.0
6,99942,2004 MN4,,2004-06-19 04:05:00.960000+00:00,146.12413055555555,13.314708555555555,,,695,USNOB1,UNK,systematic_bias,2.0
7,99942,,99942,2004-06-19 04:05:00.960000+00:00,146.12420955555555,13.314630555555556,,,695,2MASS,CCD,systematic_bias,2.0
8,99942,,99942,2004-06-19 04:11:47.990000+00:00,146.12807255555558,13.313558555555556,,,695,2MASS,CCD,systematic_bias,2.0
9,99942,,99942,2004-06-19 04:18:44.006000+00:00,146.13183455555557,13.312474555555555,,,695,2MASS,CCD,systematic_bias,2.0
10,99942,,99942,2004-06-20 03:49:42.010000+00:00,146.92187255555555,13.090691555555555,,,695,2MASS,CCD,systematic_bias,2.0
11,99942,,99942,2004-06-20 03:56:36.989000+00:00,146.92558055555557,13.089583555555556,,,695,2MASS,CCD,systematic_bias,2.0
12,99942,,99942,2004-06-20 04:03:27.043000+00:00,146.92941355555556,13.088538555555555,,,695,2MASS,CCD,systematic_bias,2.0
13,99942,2004 MN4,4X4E25A,2004-12-18 10:09:22.752000+00:00,348.0300155555555,-36.618944444444445,18.7,R,E12,UCAC2,CCD,systematic_bias,2.0
14,99942,2004 MN4,4X4E25A,2004-12-18 10:20:23.712000+00:00,348.0556355555555,-36.61405444444444,18.1,R,E12,UCAC2,CCD,systematic_bias,2.0
15,99942,2004 MN4,4X4E25A,2004-12-18 10:31:22.944000+00:00,348.08038555555555,-36.60888444444444,19.1,R,E12,UCAC2,CCD,systematic_bias,2.0
16,99942,2004 MN4,4X4E25A,2004-12-18 10:42:23.040000+00:00,348.10551555555554,-36.603524444444446,18.2,R,E12,UCAC2,CCD,systematic_bias,2.0
17,99942,2004 MN4,4X4E25B,2004-12-18 10:55:55.200000+00:00,348.13680555555555,-36.597254444444445,18.6,R,E12,UCAC2,CCD,systematic_bias,2.0
