obs_index,permID,provID,trkSub,obsTime,ra_deg,dec_deg,mag,band,station,astCat,mode,injection_type,injection_magnitude_arcsec,is_targeted_row
0,101955,1999 RQ36,J99R36Q,1999-09-11 09:44:59.136000+00:00,24.47875,-27.07431,15.1,V,704,USNOA1,CCD,targeted_outlier,30.0,False
1,101955,1999 RQ36,J99R36Q,1999-09-11 10:06:56.736000+00:00,24.50075,-27.06656,15.1,V,704,USNOA1,CCD,targeted_outlier,30.0,False
2,101955,1999 RQ36,J99R36Q,1999-09-11 10:29:31.488000+00:00,24.52337,-27.05839,15.3,V,704,USNOA1,CCD,targeted_outlier,30.0,False
3,101955,1999 RQ36,J99R36Q,1999-09-11 10:51:03.168000+00:00,24.54512,-27.05031,15.4,V,704,USNOA1,CCD,targeted_outlier,30.0,False
4,101955,1999 RQ36,J99R36Q,1999-09-11 11:12:12.384000+00:00,24.56679,-27.04233,15.2,V,704,USNOA1,CCD,targeted_outlier,30.0,False
5,101955,1999 RQ36,C89272,1999-09-12 00:24:36.576000+00:00,25.61696,-26.75611,14.1,V,595,UNK,CCD,targeted_outlier,30.0,False
6,101955,1999 RQ36,C89272,1999-09-12 00:28:37.632000+00:00,25.62154,-26.75464,,,595,UNK,CCD,targeted_outlier,30.0,False
7,101955,1999 RQ36,C89272,1999-09-12 00:30:22.176000+00:00,25.62592,-26.75283,,,108,GSC,CCD,targeted_outlier,30.0,False
8,101955,1999 RQ36,C89272,1999-09-12 00:31:01.056000+00:00,25.6235,-26.75486,15.0,R,046,USNOSA2,CCD,targeted_outlier,30.0,False
9,101955,1999 RQ36,C89272,1999-09-12 00:32:10.176000+00:00,25.62471,-26.75433,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
10,101955,1999 RQ36,C89272,1999-09-12 00:32:10.176000+00:00,25.62933,-26.75247,,,108,GSC,CCD,targeted_outlier,30.0,False
11,101955,1999 RQ36,C89272,1999-09-12 00:32:40.416000+00:00,25.62612,-26.75317,,,595,UNK,CCD,targeted_outlier,30.0,False
12,101955,1999 RQ36,C89272,1999-09-12 00:33:29.664000+00:00,25.62621,-26.75375,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
13,101955,1999 RQ36,C89272,1999-09-12 00:35:21.120000+00:00,25.62842,-26.75308,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
14,101955,1999 RQ36,C89272,1999-09-12 00:36:19.872000+00:00,25.63271,-26.7515,,,108,GSC,CCD,targeted_outlier,30.0,False
15,101955,1999 RQ36,C89272,1999-09-12 00:36:31.104000+00:00,25.62983,-26.75281,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
16,101955,1999 RQ36,C89272,1999-09-12 00:36:50.976000+00:00,25.63083,-26.75153,,,595,UNK,CCD,targeted_outlier,30.0,False
17,101955,1999 RQ36,C89272,1999-09-12 00:37:39.360000+00:00,25.63104,-26.75228,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
18,101955,1999 RQ36,C89272,1999-09-12 00:45:57.888000+00:00,25.64375,-26.74753,14.8,V,108,GSC,CCD,targeted_outlier,30.0,False
19,101955,1999 RQ36,C89272,1999-09-12 01:59:03.552000+00:00,25.741873333333334,-26.70897666666667,,,620,GSC,CCD,targeted_outlier,30.0,True
20,101955,1999 RQ36,C89272,1999-09-12 02:07:49.728000+00:00,25.74321,-26.71372,,,620,GSC,CCD,targeted_outlier,30.0,False
21,101955,1999 RQ36,C89272,1999-09-12 02:13:25.824000+00:00,25.7495,-26.71167,,,620,GSC,CCD,targeted_outlier,30.0,False
22,101955,1999 RQ36,C89272,1999-09-12 02:19:48.576000+00:00,25.75692,-26.70917,,,620,GSC,CCD,targeted_outlier,30.0,False
23,101955,1999 RQ36,C89272,1999-09-12 09:24:40.896000+00:00,26.35592,-26.52978,,,670,GSC1.1,CCD,targeted_outlier,30.0,False
24,101955,1999 RQ36,C89272,1999-09-12 09:49:28.704000+00:00,26.38554,-26.51969,,,670,GSC1.1,CCD,targeted_outlier,30.0,False
25,101955,1999 RQ36,C89272,1999-09-12 10:16:27.840000+00:00,26.41712,-26.50822,14.7,R,670,GSC1.1,CCD,targeted_outlier,30.0,False
26,101955,1999 RQ36,C89272,1999-09-12 10:40:33.312000+00:00,26.44529,-26.49764,,,670,GSC1.1,CCD,targeted_outlier,30.0,False
27,101955,1999 RQ36,C89272,1999-09-12 23:33:58.752000+00:00,27.61563,-26.14244,15.3,R,106,USNOA2,CCD,targeted_outlier,30.0,False
28,101955,1999 RQ36,C89272,1999-09-12 23:39:38.304000+00:00,27.63462,-26.13406,,,952,UNK,CCD,targeted_outlier,30.0,False
29,101955,1999 RQ36,C89272,1999-09-12 23:41:08.160000+00:00,27.63679,-26.13333,,,952,UNK,CCD,targeted_outlier,30.0,False
30,101955,1999 RQ36,C89272,1999-09-12 23:43:29.856000+00:00,27.63996,-26.13239,,,952,UNK,CCD,targeted_outlier,30.0,False
31,101955,1999 RQ36,C89272,1999-09-12 23:45:10.080000+00:00,27.64217,-26.13158,,,952,UNK,CCD,targeted_outlier,30.0,False
32,101955,1999 RQ36,C89272,1999-09-12 23:51:25.920000+00:00,27.659123333333334,-26.120586666666668,,,952,UNK,CCD,targeted_outlier,30.0,True
33,101955,1999 RQ36,C89272,1999-09-12 23:54:37.728000+00:00,27.65504,-26.12753,,,952,UNK,CCD,targeted_outlier,30.0,False
34,101955,1999 RQ36,C89272,1999-09-13 00:02:27.744000+00:00,27.65413,-26.12925,15.3,R,106,USNOA2,CCD,targeted_outlier,30.0,False
35,101955,1999 RQ36,C89272,1999-09-13 00:04:43.392000+00:00,27.65517,-26.12942,14.8,R,046,USNOSA2,CCD,targeted_outlier,30.0,False
36,101955,1999 RQ36,C89272,1999-09-13 00:05:56.832000+00:00,27.65679,-26.12883,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
37,101955,1999 RQ36,C89272,1999-09-13 00:06:59.040000+00:00,27.65821,-26.12836,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
38,101955,1999 RQ36,C89272,1999-09-13 00:08:01.248000+00:00,27.65958,-26.12789,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
39,101955,1999 RQ36,C89272,1999-09-13 00:09:00+00:00,27.66092,-26.12742,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
40,101955,1999 RQ36,C89272,1999-09-13 00:43:51.744000+00:00,27.70579,-26.11083,,,118,USNOA2,CCD,targeted_outlier,30.0,False
41,101955,1999 RQ36,C89272,1999-09-13 00:49:33.024000+00:00,27.71333,-26.108,,,118,USNOA2,CCD,targeted_outlier,30.0,False
42,101955,1999 RQ36,C89272,1999-09-13 00:53:29.760000+00:00,27.71858,-26.10611,,,118,USNOA2,CCD,targeted_outlier,30.0,False
43,101955,1999 RQ36,J99R36Q,1999-09-13 08:21:24.480000+00:00,28.44312,-25.86614,15.1,V,704,USNOA1,CCD,targeted_outlier,30.0,False
44,101955,1999 RQ36,J99R36Q,1999-09-13 08:37:39.936000+00:00,28.46546,-25.85769,15.4,V,704,USNOA1,CCD,targeted_outlier,30.0,False
45,101955,1999 RQ36,J99R36Q,1999-09-13 08:53:30.336000+00:00,28.48733,-25.8495,15.5,V,704,USNOA1,CCD,targeted_outlier,30.0,False
46,101955,1999 RQ36,C89272,1999-09-13 09:01:41.088000+00:00,28.51212,-25.84858,15.3,R,848,UNK,CCD,targeted_outlier,30.0,False
47,101955,1999 RQ36,C89272,1999-09-13 09:02:57.984000+00:00,28.51421,-25.84772,15.1,R,848,UNK,CCD,targeted_outlier,30.0,False
48,101955,1999 RQ36,C89272,1999-09-13 09:04:15.744000+00:00,28.51592,-25.84711,14.6,R,848,UNK,CCD,targeted_outlier,30.0,False
49,101955,1999 RQ36,C89272,1999-09-13 09:05:35.232000+00:00,28.51796,-25.84639,14.6,R,848,UNK,CCD,targeted_outlier,30.0,False
50,101955,1999 RQ36,C89272,1999-09-13 09:06:52.992000+00:00,28.51983,-25.84592,14.3,R,848,UNK,CCD,targeted_outlier,30.0,False
51,101955,1999 RQ36,C89272,1999-09-13 13:54:06.336000+00:00,29.02554,-25.61028,13.8,R,426,USNOSA2,CCD,targeted_outlier,30.0,False
52,101955,1999 RQ36,C89272,1999-09-13 13:57:11.232000+00:00,29.03013,-25.60875,13.8,R,426,USNOSA2,CCD,targeted_outlier,30.0,False
53,101955,1999 RQ36,C89272,1999-09-13 13:59:57.120000+00:00,29.03442,-25.60742,13.6,R,426,USNOSA2,CCD,targeted_outlier,30.0,False
54,101955,1999 RQ36,C89272,1999-09-13 14:26:24.288000+00:00,29.05979,-25.6015,15.5,R,428,GSC,CCD,targeted_outlier,30.0,False
55,101955,1999 RQ36,C89272,1999-09-13 14:28:38.208000+00:00,29.06296,-25.60033,15.6,R,428,GSC,CCD,targeted_outlier,30.0,False
56,101955,1999 RQ36,C89272,1999-09-13 14:30:49.536000+00:00,29.06612,-25.59919,15.6,R,428,GSC,CCD,targeted_outlier,30.0,False
57,101955,1999 RQ36,C89272,1999-09-13 14:33:25.920000+00:00,29.06983,-25.59783,15.6,R,428,GSC,CCD,targeted_outlier,30.0,False
58,101955,1999 RQ36,C89272,1999-09-14 00:12:08.352000+00:00,30.07362,-25.31639,14.4,R,046,USNOSA2,CCD,targeted_outlier,30.0,False
59,101955,1999 RQ36,C89272,1999-09-14 00:13:52.896000+00:00,30.068166666666666,-25.323643333333333,,,046,USNOSA2,CCD,targeted_outlier,30.0,True
60,101955,1999 RQ36,C89272,1999-09-14 00:15:31.392000+00:00,30.07908,-25.31439,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
61,101955,1999 RQ36,C89272,1999-09-14 00:17:04.704000+00:00,30.08158,-25.31342,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
62,101955,1999 RQ36,C89272,1999-09-14 00:41:16.224000+00:00,30.11604,-25.29761,15.4,R,629,GSC,CCD,targeted_outlier,30.0,False
63,101955,1999 RQ36,C89272,1999-09-14 00:48:24.768000+00:00,30.12658,-25.29319,15.5,R,629,GSC,CCD,targeted_outlier,30.0,False
64,101955,1999 RQ36,C89272,1999-09-14 00:51:48.672000+00:00,30.123996666666667,-25.299253333333333,16.2,R,629,GSC,CCD,targeted_outlier,30.0,True
65,101955,1999 RQ36,C89272,1999-09-14 00:55:21.216000+00:00,30.13762,-25.28886,16.0,R,629,GSC,CCD,targeted_outlier,30.0,False
66,101955,1999 RQ36,C89272,1999-09-14 00:56:45.888000+00:00,30.14008,-25.28797,16.4,R,629,GSC,CCD,targeted_outlier,30.0,False
67,101955,1999 RQ36,C89272,1999-09-14 00:59:12.768000+00:00,30.14417,-25.28675,15.5,R,629,GSC,CCD,targeted_outlier,30.0,False
68,101955,1999 RQ36,C89272,1999-09-14 01:01:37.920000+00:00,30.14787,-25.28489,15.8,R,629,GSC,CCD,targeted_outlier,30.0,False
69,101955,1999 RQ36,C89272,1999-09-14 01:04:08.256000+00:00,30.15188,-25.28325,16.1,R,629,GSC,CCD,targeted_outlier,30.0,False
70,101955,1999 RQ36,C89272,1999-09-14 01:05:56.256000+00:00,30.15467,-25.28211,15.8,R,629,GSC,CCD,targeted_outlier,30.0,False
71,101955,1999 RQ36,C89272,1999-09-14 01:07:48.576000+00:00,30.15762,-25.28103,16.3,R,629,GSC,CCD,targeted_outlier,30.0,False
72,101955,1999 RQ36,,1999-09-14 09:09:52.704000+00:00,31.06879,-24.95167,15.4,V,704,USNOA1,CCD,targeted_outlier,30.0,False
73,101955,1999 RQ36,,1999-09-14 09:27:57.024000+00:00,31.0985,-24.93906,15.5,V,704,USNOA1,CCD,targeted_outlier,30.0,False
74,101955,1999 RQ36,,1999-09-14 09:46:03.936000+00:00,31.12838,-24.92639,15.5,V,704,USNOA1,CCD,targeted_outlier,30.0,False
75,101955,1999 RQ36,,1999-09-14 10:04:22.944000+00:00,31.15854,-24.91344,15.8,V,704,USNOA1,CCD,targeted_outlier,30.0,False
76,101955,1999 RQ36,,1999-09-14 10:22:46.272000+00:00,31.18904,-24.90022,15.9,V,704,USNOA1,CCD,targeted_outlier,30.0,False
77,101955,1999 RQ36,C89272,1999-09-14 12:14:20.544000+00:00,31.46117,-24.73844,15.2,R,467,USNOA2,CCD,targeted_outlier,30.0,False
78,101955,1999 RQ36,C89272,1999-09-14 12:15:04.608000+00:00,31.46246,-24.73803,15.1,R,467,USNOA2,CCD,targeted_outlier,30.0,False
79,101955,1999 RQ36,C89272,1999-09-14 12:15:48.672000+00:00,31.46375,-24.7375,15.1,R,467,USNOA2,CCD,targeted_outlier,30.0,False
80,101955,1999 RQ36,C89272,1999-09-14 12:16:32.736000+00:00,31.465,-24.73706,15.0,R,467,USNOA2,CCD,targeted_outlier,30.0,False
81,101955,1999 RQ36,C89272,1999-09-14 12:28:21.216000+00:00,31.48592,-24.72917,15.3,R,467,USNOA2,CCD,targeted_outlier,30.0,False
82,101955,1999 RQ36,J99R36Q,1999-09-14 14:52:39.360000+00:00,31.7655,-24.63161,,,413,UNK,CCD,targeted_outlier,30.0,False
83,101955,1999 RQ36,J99R36Q,1999-09-14 14:54:05.760000+00:00,31.768,-24.63061,15.1,R,413,UNK,CCD,targeted_outlier,30.0,False
84,101955,1999 RQ36,J99R36Q,1999-09-14 17:12:18.432000+00:00,32.00183,-24.53172,15.1,R,428,GSC,CCD,targeted_outlier,30.0,False
85,101955,1999 RQ36,J99R36Q,1999-09-14 17:14:27.168000+00:00,32.00563,-24.52997,15.2,R,428,GSC,CCD,targeted_outlier,30.0,False
86,101955,1999 RQ36,J99R36Q,1999-09-14 17:16:35.040000+00:00,32.00942,-24.52822,15.1,R,428,GSC,CCD,targeted_outlier,30.0,False
87,101955,1999 RQ36,J99R36Q,1999-09-14 17:18:42.912000+00:00,32.01304,-24.52661,15.1,R,428,GSC,CCD,targeted_outlier,30.0,False
88,101955,1999 RQ36,J99R36Q,1999-09-15 01:19:26.688000+00:00,33.04517,-24.21908,,,118,USNOA2,CCD,targeted_outlier,30.0,False
89,101955,1999 RQ36,J99R36Q,1999-09-15 01:22:07.392000+00:00,33.05029,-24.21686,,,118,USNOA2,CCD,targeted_outlier,30.0,False
90,101955,1999 RQ36,J99R36Q,1999-09-15 01:23:38.976000+00:00,33.05333,-24.21558,15.2,R,118,USNOA2,CCD,targeted_outlier,30.0,False
91,101955,1999 RQ36,,1999-09-15 01:53:54.240000+00:00,33.11458,-24.19047,14.6,R,046,USNOSA2,CCD,targeted_outlier,30.0,False
92,101955,1999 RQ36,,1999-09-15 01:55:42.240000+00:00,33.11804,-24.18897,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
93,101955,1999 RQ36,,1999-09-15 01:56:43.584000+00:00,33.12004,-24.18814,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
94,101955,1999 RQ36,,1999-09-15 01:57:44.064000+00:00,33.122,-24.18722,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
95,101955,1999 RQ36,J99R36Q,1999-09-15 02:44:51.936000+00:00,33.28246,-24.07222,15.5,V,859,GSC,CCD,targeted_outlier,30.0,False
96,101955,1999 RQ36,J99R36Q,1999-09-15 02:47:43.872000+00:00,33.288,-24.07,15.3,V,859,GSC,CCD,targeted_outlier,30.0,False
97,101955,1999 RQ36,J99R36Q,1999-09-15 02:51:50.112000+00:00,33.29583,-24.06689,15.4,V,859,GSC,CCD,targeted_outlier,30.0,False
98,101955,1999 RQ36,J99R36Q,1999-09-15 02:54:54.144000+00:00,33.30187,-24.06456,15.4,V,859,GSC,CCD,targeted_outlier,30.0,False
99,101955,1999 RQ36,J99R36Q,1999-09-15 02:58:01.632000+00:00,33.30792,-24.06211,15.0,V,859,GSC,CCD,targeted_outlier,30.0,False
100,101955,1999 RQ36,J99R36Q,1999-09-15 03:01:30.720000+00:00,33.31467,-24.05936,15.3,V,859,GSC,CCD,targeted_outlier,30.0,False
101,101955,1999 RQ36,J99R36Q,1999-09-15 09:18:43.200000+00:00,34.139,-23.79703,15.1,R,848,UNK,CCD,targeted_outlier,30.0,False
102,101955,1999 RQ36,J99R36Q,1999-09-15 09:19:40.224000+00:00,34.14092,-23.79622,15.0,R,848,UNK,CCD,targeted_outlier,30.0,False
103,101955,1999 RQ36,J99R36Q,1999-09-15 09:20:38.112000+00:00,34.14275,-23.79536,15.0,R,848,UNK,CCD,targeted_outlier,30.0,False
104,101955,1999 RQ36,,1999-09-16 01:23:25.152000+00:00,36.487,-22.83508,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
105,101955,1999 RQ36,,1999-09-16 01:25:34.752000+00:00,36.49212,-22.83283,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
106,101955,1999 RQ36,,1999-09-16 01:26:31.776000+00:00,36.49433,-22.83183,,,046,USNOSA2,CCD,targeted_outlier,30.0,False
107,101955,1999 RQ36,,1999-09-16 01:27:20.160000+00:00,36.49612,-22.83086,13.9,R,046,USNOSA2,CCD,targeted_outlier,30.0,False
108,101955,1999 RQ36,J99R36Q,1999-09-16 03:11:41.568000+00:00,36.743,-22.71239,,,595,UNK,CCD,targeted_outlier,30.0,False
109,101955,1999 RQ36,J99R36Q,1999-09-16 03:13:54.624000+00:00,36.74821,-22.70978,,,595,UNK,CCD,targeted_outlier,30.0,False
110,101955,1999 RQ36,J99R36Q,1999-09-16 03:16:12.864000+00:00,36.75379,-22.70706,,,595,UNK,CCD,targeted_outlier,30.0,False
111,101955,1999 RQ36,J99R36Q,1999-09-16 03:19:42.816000+00:00,36.76221,-22.70297,14.3,V,595,UNK,CCD,targeted_outlier,30.0,False
112,101955,1999 RQ36,J99R36Q,1999-09-16 08:54:27.360000+00:00,37.73033,-22.31061,13.9,R,848,UNK,CCD,targeted_outlier,30.0,False
113,101955,1999 RQ36,J99R36Q,1999-09-16 08:55:09.696000+00:00,37.73212,-22.30983,13.9,R,848,UNK,CCD,targeted_outlier,30.0,False
114,101955,1999 RQ36,J99R36Q,1999-09-16 08:55:52.896000+00:00,37.73392,-22.309,14.0,R,848,UNK,CCD,targeted_outlier,30.0,False
115,101955,1999 RQ36,J99R36Q,1999-09-16 13:22:09.120000+00:00,38.51462,-21.88183,14.8,R,428,GSC,CCD,targeted_outlier,30.0,False
116,101955,1999 RQ36,J99R36Q,1999-09-16 13:23:27.744000+00:00,38.51792,-21.88042,14.7,R,428,GSC,CCD,targeted_outlier,30.0,False
117,101955,1999 RQ36,J99R36Q,1999-09-16 13:24:41.184000+00:00,38.52129,-21.87883,14.8,R,428,GSC,CCD,targeted_outlier,30.0,False
