obs_index,permID,provID,trkSub,obsTime,ra_deg,dec_deg,mag,band,station,astCat,mode
0,99942,2004 MN4,K04M04N,2004-03-15 02:35:21.696000+00:00,61.53367,16.91794,,,691,USNOB1,CCD
1,99942,2004 MN4,K04M04N,2004-03-15 02:38:57.696000+00:00,61.53575,16.91836,,,691,USNOB1,CCD
2,99942,2004 MN4,K04M04N,2004-03-15 02:58:03.360000+00:00,61.54896,16.92097,,,691,USNOB1,CCD
3,99942,2004 MN4,K04M04N,2004-03-15 03:01:50.592000+00:00,61.55167,16.92158,,,691,USNOB1,CCD
4,99942,2004 MN4,K04M04N,2004-03-15 03:17:36.672000+00:00,61.56208,16.92372,,,691,USNOB1,CCD
5,99942,2004 MN4,K04M04N,2004-03-15 03:21:34.272000+00:00,61.56492,16.92419,,,691,USNOB1,CCD
6,99942,2004 MN4,,2004-06-19 04:05:00.960000+00:00,146.123575,13.314153,,,695,USNOB1,UNK
7,99942,,99942,2004-06-19 04:05:00.960000+00:00,146.123654,13.314075,,,695,2MASS,CCD
8,99942,,99942,2004-06-19 04:11:47.990000+00:00,146.127517,13.313003,,,695,2MASS,CCD
9,99942,,99942,2004-06-19 04:18:44.006000+00:00,146.131279,13.311919,,,695,2MASS,CCD
10,99942,,99942,2004-06-20 03:49:42.010000+00:00,146.921317,13.090136,,,695,2MASS,CCD
11,99942,,99942,2004-06-20 03:56:36.989000+00:00,146.925025,13.089028,,,695,2MASS,CCD
12,99942,,99942,2004-06-20 04:03:27.043000+00:00,146.928858,13.087983,,,695,2MASS,CCD
13,99942,2004 MN4,4X4E25A,2004-12-18 10:09:22.752000+00:00,348.02946,-36.6195,18.7,R,E12,UCAC2,CCD
14,99942,2004 MN4,4X4E25A,2004-12-18 10:20:23.712000+00:00,348.05508,-36.61461,18.1,R,E12,UCAC2,CCD
15,99942,2004 MN4,4X4E25A,2004-12-18 10:31:22.944000+00:00,348.07983,-36.60944,19.1,R,E12,UCAC2,CCD
16,99942,2004 MN4,4X4E25A,2004-12-18 10:42:23.040000+00:00,348.10496,-36.60408,18.2,R,E12,UCAC2,CCD
17,99942,2004 MN4,4X4E25B,2004-12-18 10:55:55.200000+00:00,348.13625,-36.59781,18.6,R,E12,UCAC2,CCD
18,99942,2004 MN4,4X4E25B,2004-12-18 10:57:05.184000+00:00,348.13892,-36.59728,18.3,R,E12,UCAC2,CCD
19,99942,2004 MN4,4X4E25B,2004-12-18 10:58:16.032000+00:00,348.14162,-36.59667,18.0,R,E12,UCAC2,CCD
20,99942,2004 MN4,4X4E25B,2004-12-18 10:59:25.152000+00:00,348.14433,-36.596,18.7,R,E12,UCAC2,CCD
21,99942,2004 MN4,4X4E25A,2004-12-18 11:46:20.928000+00:00,348.253,-36.57347,18.5,R,E12,UCAC2,CCD
22,99942,2004 MN4,4X4E25A,2004-12-18 11:47:30.912000+00:00,348.25558,-36.57281,18.0,R,E12,UCAC2,CCD
23,99942,2004 MN4,4X4E25A,2004-12-18 11:48:40.896000+00:00,348.25842,-36.57242,18.4,R,E12,UCAC2,CCD
24,99942,2004 MN4,4X4E25A,2004-12-18 11:49:50.880000+00:00,348.26087,-36.57183,18.0,R,E12,UCAC2,CCD
25,99942,2004 MN4,4X4E25A,2004-12-19 01:53:47.328000+00:00,350.27346,-36.216,18.7,R,854,USNOA2,CCD
26,99942,2004 MN4,4X4E25A,2004-12-19 02:00:43.776000+00:00,350.28875,-36.21192,18.8,R,854,USNOA2,CCD
27,99942,2004 MN4,4X4E25A,2004-12-19 02:07:41.952000+00:00,350.30513,-36.20875,18.6,R,854,USNOA2,CCD
28,99942,2004 MN4,4X4E25A,2004-12-19 02:14:41.856000+00:00,350.32033,-36.20558,18.3,R,854,USNOA2,CCD
29,99942,2004 MN4,4X4E25A,2004-12-19 02:21:50.400000+00:00,350.33663,-36.20197,18.7,R,854,USNOA2,CCD
30,99942,2004 MN4,4X4E25A,2004-12-19 11:01:34.752000+00:00,351.54658,-35.91444,16.7,R,474,USNOA2,CCD
31,99942,2004 MN4,4X4E25A,2004-12-19 11:03:14.976000+00:00,351.55042,-35.91353,16.9,R,474,USNOA2,CCD
32,99942,2004 MN4,4X4E25A,2004-12-19 11:04:24.960000+00:00,351.55304,-35.91294,16.5,R,474,USNOA2,CCD
33,99942,2004 MN4,4X4E25A,2004-12-19 11:09:04.896000+00:00,351.56392,-35.91033,16.6,R,474,USNOA2,CCD
34,99942,2004 MN4,4X4E25A,2004-12-20 01:39:39.744000+00:00,353.61442,-35.49172,18.5,R,673,USNOA2,CCD
35,99942,2004 MN4,4X4E25A,2004-12-20 01:50:45.024000+00:00,353.639,-35.48553,,,673,USNOA2,CCD
36,99942,2004 MN4,4X4E25A,2004-12-20 01:59:19.968000+00:00,353.65792,-35.48092,,,673,USNOA2,CCD
37,99942,2004 MN4,4X4E25A,2004-12-20 02:09:36+00:00,353.68071,-35.47517,,,673,USNOA2,CCD
38,99942,2004 MN4,4X4E289,2004-12-22 11:20:39.034000+00:00,1.41117,-33.34539,18.5,R,E12,UCAC2,CCD
39,99942,2004 MN4,4X4E289,2004-12-22 11:21:11.002000+00:00,1.41229,-33.34506,17.6,R,E12,UCAC2,CCD
40,99942,2004 MN4,4X4E289,2004-12-22 11:21:42.106000+00:00,1.41308,-33.34475,17.6,R,E12,UCAC2,CCD
41,99942,2004 MN4,4X4E289,2004-12-22 11:22:12.346000+00:00,1.41458,-33.34428,16.6,R,E12,UCAC2,CCD
42,99942,2004 MN4,AS38864,2004-12-23 01:32:15.648000+00:00,3.27254,-32.78136,17.3,V,704,USNOA2,CCD
43,99942,2004 MN4,AS38893,2004-12-23 01:32:19.968000+00:00,3.27346,-32.78169,18.2,V,704,USNOA2,CCD
44,99942,2004 MN4,AS38864,2004-12-23 02:11:35.232000+00:00,3.35279,-32.75375,17.7,V,704,USNOA2,CCD
45,99942,2004 MN4,AS38893,2004-12-23 02:13:34.464000+00:00,3.35746,-32.75261,17.5,V,704,USNOA2,CCD
46,99942,2004 MN4,AS38864,2004-12-23 02:31:28.416000+00:00,3.39379,-32.73908,17.7,V,704,USNOA2,CCD
47,99942,2004 MN4,AS38893,2004-12-23 02:34:58.368000+00:00,3.40117,-32.73703,17.8,V,704,USNOA2,CCD
48,99942,2004 MN4,AS38864,2004-12-23 02:51:06.048000+00:00,3.43371,-32.72503,17.5,V,704,USNOA2,CCD
49,99942,2004 MN4,AS38893,2004-12-23 02:55:14.016000+00:00,3.44238,-32.72228,17.5,V,704,USNOA2,CCD
50,99942,2004 MN4,4X4E29E,2004-12-23 10:37:28.416000+00:00,4.42333,-32.36767,16.3,R,E12,UCAC2,CCD
51,99942,2004 MN4,4X4E29E,2004-12-23 10:37:58.656000+00:00,4.424,-32.36719,17.3,R,E12,UCAC2,CCD
52,99942,2004 MN4,4X4E29E,2004-12-23 10:38:28.032000+00:00,4.42521,-32.36681,17.1,R,E12,UCAC2,CCD
53,99942,2004 MN4,4X4E29E,2004-12-23 10:38:58.272000+00:00,4.42625,-32.36656,17.2,R,E12,UCAC2,CCD
54,99942,2004 MN4,4X4E29E,2004-12-23 10:39:56.160000+00:00,4.42813,-32.36578,17.0,R,E12,UCAC2,CCD
55,99942,2004 MN4,4X4E29E,2004-12-23 10:40:25.536000+00:00,4.42921,-32.36536,17.4,R,E12,UCAC2,CCD
56,99942,2004 MN4,4X4E29E,2004-12-23 10:40:55.776000+00:00,4.43029,-32.36506,16.7,R,E12,UCAC2,CCD
57,99942,2004 MN4,4X4E29E,2004-12-23 10:41:26.016000+00:00,4.43125,-32.36461,16.9,R,E12,UCAC2,CCD
58,99942,2004 MN4,4X4E2A1,2004-12-23 11:36:56.736000+00:00,4.54429,-32.32244,17.5,R,E12,UCAC2,CCD
59,99942,2004 MN4,4X4E2A1,2004-12-23 11:37:26.976000+00:00,4.54558,-32.32228,16.8,R,E12,UCAC2,CCD
60,99942,2004 MN4,4X4E2A1,2004-12-23 11:37:58.080000+00:00,4.54646,-32.32164,17.1,R,E12,UCAC2,CCD
61,99942,2004 MN4,4X4E2A1,2004-12-23 11:38:28.320000+00:00,4.54737,-32.32133,17.3,R,E12,UCAC2,CCD
62,99942,2004 MN4,4X4E2A1,2004-12-23 11:44:38.976000+00:00,4.56013,-32.31656,17.3,R,E12,UCAC2,CCD
63,99942,2004 MN4,4X4E2A1,2004-12-23 11:45:09.216000+00:00,4.56108,-32.31611,17.0,R,E12,UCAC2,CCD
64,99942,2004 MN4,4X4E2A1,2004-12-23 11:45:38.592000+00:00,4.56229,-32.316,17.1,R,E12,UCAC2,CCD
65,99942,2004 MN4,4X4E2A1,2004-12-23 11:46:08.832000+00:00,4.56317,-32.31558,17.4,R,E12,UCAC2,CCD
66,99942,2004 MN4,4X4E2A3,2004-12-23 12:46:10.848000+00:00,4.68696,-32.26936,17.2,R,E12,UCAC2,CCD
67,99942,2004 MN4,4X4E2A3,2004-12-23 12:46:41.088000+00:00,4.68783,-32.26883,17.9,R,E12,UCAC2,CCD
68,99942,2004 MN4,4X4E2A3,2004-12-23 12:47:11.328000+00:00,4.68892,-32.26864,17.7,R,E12,UCAC2,CCD
69,99942,2004 MN4,4X4E2A3,2004-12-23 12:47:43.296000+00:00,4.69029,-32.26822,17.9,R,E12,UCAC2,CCD
70,99942,2004 MN4,K04M04N,2004-12-24 01:50:17.376000+00:00,6.34933,-31.72019,17.7,R,683,GSCACT,CCD
71,99942,2004 MN4,K04M04N,2004-12-24 01:54:52.128000+00:00,6.35867,-31.71669,17.5,R,683,GSCACT,CCD
72,99942,2004 MN4,6CO002,2004-12-24 02:38:38.688000+00:00,6.44463,-31.68406,16.8,R,699,USNOB1,CCD
73,99942,2004 MN4,6CO002,2004-12-24 02:49:12.864000+00:00,6.46546,-31.67592,,,699,USNOB1,CCD
74,99942,2004 MN4,6CO002,2004-12-24 02:59:47.904000+00:00,6.48629,-31.66783,,,699,USNOB1,CCD
75,99942,2004 MN4,6CO002,2004-12-24 03:10:22.080000+00:00,6.50708,-31.65983,,,699,USNOB1,CCD
76,99942,2004 MN4,6CO003,2004-12-24 03:35:43.584000+00:00,6.55758,-31.64061,17.2,R,699,USNOB1,CCD
77,99942,2004 MN4,6CO003,2004-12-24 03:39:44.640000+00:00,6.56471,-31.63683,,,699,USNOB1,CCD
78,99942,2004 MN4,6CO003,2004-12-24 03:43:45.696000+00:00,6.57296,-31.63411,,,699,USNOB1,CCD
79,99942,2004 MN4,6CO003,2004-12-24 03:47:47.616000+00:00,6.58088,-31.63072,,,699,USNOB1,CCD
80,99942,2004 MN4,K04M04N,2004-12-24 18:00:50.112000+00:00,8.336713,-30.982831,16.6,R,620,USNOB1,CCD
81,99942,2004 MN4,K04M04N,2004-12-24 18:12:33.408000+00:00,8.359154,-30.9737,16.9,R,620,USNOB1,CCD
82,99942,2004 MN4,K04M04N,2004-12-24 18:23:24+00:00,8.380021,-30.965356,16.9,R,620,USNOB1,CCD
83,99942,2004 MN4,JS00130,2004-12-25 01:34:58.944000+00:00,9.24571,-30.62847,17.6,R,H06,USNOB1,CCD
84,99942,2004 MN4,JS00130,2004-12-25 01:42:49.824000+00:00,9.26058,-30.62228,17.8,R,H06,USNOB1,CCD
85,99942,2004 MN4,K04M04N,2004-12-25 01:48:08.640000+00:00,9.27329,-30.61808,19.2,R,683,GSCACT,CCD
86,99942,2004 MN4,K04M04N,2004-12-25 01:51:32.544000+00:00,9.27967,-30.61544,18.9,R,683,GSCACT,CCD
87,99942,2004 MN4,JS00130,2004-12-25 01:52:04.512000+00:00,9.27817,-30.61508,17.7,R,H06,USNOB1,CCD
88,99942,2004 MN4,K04M04N,2004-12-25 01:54:09.792000+00:00,9.28446,-30.61367,18.0,R,683,GSCACT,CCD
89,99942,2004 MN4,K04M04N,2004-12-25 01:56:47.904000+00:00,9.28937,-30.61128,18.5,R,683,GSCACT,CCD
90,99942,2004 MN4,K04M04N,2004-12-25 01:59:30.336000+00:00,9.29471,-30.60925,18.6,R,683,GSCACT,CCD
91,99942,2004 MN4,K04M04N,2004-12-25 02:02:06.720000+00:00,9.29971,-30.60733,19.6,R,683,GSCACT,CCD
92,99942,2004 MN4,K04M04N,2004-12-25 02:05:55.680000+00:00,9.30667,-30.60417,19.4,R,683,GSCACT,CCD
93,99942,2004 MN4,K04M04N,2004-12-25 02:12:07.200000+00:00,9.31846,-30.59931,18.9,R,683,GSCACT,CCD
94,99942,2004 MN4,K04M04N,2004-12-25 02:24:41.472000+00:00,9.34196,-30.58944,18.5,R,683,GSCACT,CCD
95,99942,2004 MN4,K04M04N,2004-12-25 02:30:00.288000+00:00,9.35213,-30.58528,18.1,R,683,GSCACT,CCD
96,99942,2004 MN4,K04M04N,2004-12-25 02:35:41.568000+00:00,9.36292,-30.58064,18.2,R,683,GSCACT,CCD
97,99942,2004 MN4,K04M04N,2004-12-25 02:45:09.216000+00:00,9.38054,-30.57297,18.3,R,683,GSCACT,CCD
