name,category,n_obs,status,pct_corrupted_targeted,clean_dist_km,bias_dist_km,noise_dist_km,outlier_dist_km,bias_delta_km,noise_delta_km,outlier_delta_km
Apophis,Famous,9337,OK,0.214,66975497.3,66976319.6,66975925.3,66975611.8,822.3,428.0,114.5
Bennu,Famous,603,OK,3.317,262350076.7,262353411.2,262351756.3,262350570.2,3334.6,1679.7,493.5
Eros,Famous,17975,OK,0.111,402664770.0,402664692.3,402664723.6,402664762.4,-77.7,-46.4,-7.6
Itokawa,Famous,1260,OK,1.587,292479124.1,292479163.7,292479147.8,292479128.0,39.5,23.6,3.9
Didymos,Notable,5930,OK,0.337,398007097.9,398001712.8,398004386.9,398006300.0,-5385.1,-2711.0,-797.9
Florence,Notable,9817,OK,0.204,273779624.2,273780782.8,273780209.0,273779794.6,1158.6,584.9,170.5
Geographos,Notable,9493,OK,0.211,194087587.9,194087781.1,194087703.4,194087606.8,193.2,115.5,18.9
2012 DA14,Obscure,1071,OK,1.867,48773243.9,48766045.9,48769623.0,48772175.9,-7198.0,-3620.9,-1068.0
Phaethon,Obscure,8809,OK,0.227,289727893.7,289728108.9,289728022.3,289727914.7,215.2,128.7,21.1
2023 BU,Barely known,1758,OK,1.138,41228447.1,41228665.1,41228577.4,41228468.4,218.0,130.3,21.3
