name,status,clean_dist_km,bias_delta_km,noise_delta_km,outlier_delta_km,n_observations
AlbertA911TB,CAD fetch failed,,,,,
GanymedA924UB,CAD fetch failed,,,,,
Daedalus1971FA,CAD fetch failed,,,,,
Boreas1953RA,CAD fetch failed,,,,,
Tezcatlipoca1950LA,CAD fetch failed,,,,,
Baboquivari1963UA,CAD fetch failed,,,,,
Anza1960UA,OK,8031221.8,81.2,60.9,12.2,2056.0
Tantalus1975YA,OK,20567333.0,251.4,188.6,37.7,2149.0
Aristaeus1977HA,OK,67644634.4,155.6,116.7,23.3,62.0
Pele1972RA,CAD fetch failed,,,,,
Orthos1976WA,OK,14205609.9,-132.4,-99.3,-19.9,1882.0
Beltrovata1977RA,CAD fetch failed,,,,,
Seneca1978DA,OK,13469724.7,-165.2,-123.9,-24.8,85.0
Krok1981QA,OK,29746630.0,-32.7,-24.5,-4.9,2806.0
Eger1982BB,OK,28335928.6,350.3,262.8,52.6,8913.0
Nefertiti1982RA,CAD fetch failed,,,,,
Ul1982RB,CAD fetch failed,,,,,
Seleucus1982DV,OK,20895365.8,-261.1,-195.7,-39.0,2617.0
McAuliffe1981CW,CAD fetch failed,,,,,
Syrinx1981VA,OK,22051747.0,179.8,134.9,27.0,595.0
Verenia1983RD,OK,17637028.1,12.9,9.7,1.9,680.0
Mera1985JA,CAD fetch failed,,,,,
Amun1986EB,OK,57519637.3,337.9,253.4,50.7,1677.0
Bede1982FT,CAD fetch failed,,,,,
Camillo1985PA,OK,20607942.0,173.1,129.8,26.0,3146.0
Cruithne1986TO,CAD fetch failed,,,,,
Huma1986LA,OK,27726834.3,-24.3,-18.2,-3.6,631.0
WilsonHarrington1979VA,OK,16200062.8,72.2,54.2,10.8,1891.0
Vishnu1986PA,OK,23450599.0,26.3,19.7,3.9,1338.0
Magellan1985DO2,CAD fetch failed,,,,,
Morpheus1982TA,OK,29093448.4,101.1,75.9,15.2,1286.0
Ubasti1987QA,OK,25525770.7,-159.2,-119.4,-23.9,3174.0
Poseidon1987KF,CAD fetch failed,,,,,
Aditi1985TB,CAD fetch failed,,,,,
Pocahontas1987UA,CAD fetch failed,,,,,
Cleobulus1989WM,CAD fetch failed,,,,,
Xanthus1989FB,OK,29254218.4,-345.3,-258.8,-51.7,2968.0
QB,CAD fetch failed,,,,,
WF,OK,60116789.1,803.6,602.7,120.5,339.0
Ninkasi1988TJ1,OK,24558374.5,281.9,211.4,42.3,1017.0
MU,OK,4612130.3,-34.3,-25.7,-5.1,3136.0
Eric1990SQ,CAD fetch failed,,,,,
Brucemurray1990XJ,CAD fetch failed,,,,,
Ptah6743PL,OK,28594843.8,39.9,29.9,6.0,785.0
BG,CAD fetch failed,,,,,
